p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,1,232,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,233,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,234,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,235,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,236,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,237,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,238,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,239,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,240,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,241,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,242,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,243,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,244,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,245,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,246,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,247,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,248,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,249,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,0,2147483647,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,1,1704,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,2,1704,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,3,1620,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,4,1620,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,5,1592,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,6,1686,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,7,1964,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,8,2168,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,9,1690,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,10,1316,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,11,1740,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,12,2094,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,13,2144,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,14,1166,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,15,1492,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,16,1932,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,17,1400,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,18,1536,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,19,1030,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,20,968,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,21,1268,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,22,1038,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,23,1418,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,24,1320,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,25,1234,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,26,1156,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,27,1056,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,28,1056,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,29,974,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,30,820,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,31,1270,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,32,1194,2147483647,2147483647,3,0.0
