dcop,p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_costanytime_cost,top_cost,memory_style,hyper_parametr
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,231,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,232,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,233,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,234,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,235,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,236,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,237,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,238,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,239,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,240,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,241,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,242,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,243,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,244,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,245,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,246,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,247,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,248,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,249,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,250,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,251,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,252,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,253,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,254,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,255,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,256,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,257,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,258,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,259,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,260,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,261,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,262,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,263,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,264,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,265,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,266,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,267,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,268,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,269,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,270,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,271,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,272,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,273,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,274,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,275,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,276,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,277,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,278,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,279,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,280,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,281,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,282,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,283,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,284,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,285,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,286,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,287,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,288,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,289,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,290,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,291,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,292,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,293,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,294,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,295,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,296,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,297,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,298,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,299,23802380,2380,1,0
