algo,p1,p2,mean_run,p3,upper_bound,itiration,real_cost
dsa0.6,0.2,1.0,1,0.5,5,41,6739
dsa0.6,0.2,1.0,1,0.5,5,42,6785
dsa0.6,0.2,1.0,1,0.5,5,43,6856
dsa0.6,0.2,1.0,1,0.5,5,44,6759
dsa0.6,0.2,1.0,1,0.5,5,45,6759
dsa0.6,0.2,1.0,1,0.5,5,46,6868
dsa0.6,0.2,1.0,1,0.5,5,47,6704
dsa0.6,0.2,1.0,1,0.5,5,48,6704
dsa0.6,0.2,1.0,1,0.5,5,49,6685
dsa0.6,0.2,1.0,1,0.5,5,50,6685
dsa0.6,0.2,1.0,1,0.5,5,51,6685
dsa0.6,0.2,1.0,1,0.5,5,52,6619
dsa0.6,0.2,1.0,1,0.5,5,53,6619
dsa0.6,0.2,1.0,1,0.5,5,54,6619
dsa0.6,0.2,1.0,1,0.5,5,55,6619
dsa0.6,0.2,1.0,1,0.5,5,56,6619
dsa0.6,0.2,1.0,1,0.5,5,57,6619
dsa0.6,0.2,1.0,1,0.5,5,58,6619
dsa0.6,0.2,1.0,1,0.5,5,59,6619
dsa0.6,0.2,1.0,1,0.5,5,60,6619
dsa0.6,0.2,1.0,1,0.5,5,61,6619
dsa0.6,0.2,1.0,1,0.5,5,62,6619
dsa0.6,0.2,1.0,1,0.5,5,63,6619
dsa0.6,0.2,1.0,1,0.5,5,64,6619
dsa0.6,0.2,1.0,1,0.5,5,65,6619
dsa0.6,0.2,1.0,1,0.5,5,66,6619
dsa0.6,0.2,1.0,1,0.5,5,67,6619
dsa0.6,0.2,1.0,1,0.5,5,68,6619
dsa0.6,0.2,1.0,1,0.5,5,69,6619
dsa0.6,0.2,1.0,1,0.5,5,70,6619
dsa0.6,0.2,1.0,1,0.5,5,71,6619
dsa0.6,0.2,1.0,1,0.5,5,72,6619
dsa0.6,0.2,1.0,1,0.5,5,73,6619
dsa0.6,0.2,1.0,1,0.5,5,74,6619
dsa0.6,0.2,1.0,1,0.5,5,75,6619
dsa0.6,0.2,1.0,1,0.5,5,76,6619
dsa0.6,0.2,1.0,1,0.5,5,77,6619
dsa0.6,0.2,1.0,1,0.5,5,78,6619
dsa0.6,0.2,1.0,1,0.5,5,79,6619
dsa0.6,0.2,1.0,1,0.5,5,80,6619
dsa0.6,0.2,1.0,1,0.5,5,81,6619
dsa0.6,0.2,1.0,1,0.5,5,82,6619
dsa0.6,0.2,1.0,1,0.5,5,83,6619
dsa0.6,0.2,1.0,1,0.5,5,84,6619
dsa0.6,0.2,1.0,1,0.5,5,85,6619
dsa0.6,0.2,1.0,1,0.5,5,86,6619
dsa0.6,0.2,1.0,1,0.5,5,87,6619
dsa0.6,0.2,1.0,1,0.5,5,88,6619
dsa0.6,0.2,1.0,1,0.5,5,89,6619
dsa0.6,0.2,1.0,1,0.5,5,90,6619
dsa0.6,0.2,1.0,1,0.5,5,91,6619
dsa0.6,0.2,1.0,1,0.5,5,92,6619
dsa0.6,0.2,1.0,1,0.5,5,93,6619
dsa0.6,0.2,1.0,1,0.5,5,94,6619
dsa0.6,0.2,1.0,1,0.5,5,95,6619
dsa0.6,0.2,1.0,1,0.5,5,96,6619
dsa0.6,0.2,1.0,1,0.5,5,97,6619
dsa0.6,0.2,1.0,1,0.5,5,98,6619
dsa0.6,0.2,1.0,1,0.5,5,99,6619
dsa0.6,0.2,1.0,1,0.5,5,100,6619
dsa0.6,0.2,1.0,1,0.5,5,101,6619
dsa0.6,0.2,1.0,1,0.5,5,102,6619
dsa0.6,0.2,1.0,1,0.5,5,103,6619
dsa0.6,0.2,1.0,1,0.5,5,104,6619
dsa0.6,0.2,1.0,1,0.5,5,105,6619
dsa0.6,0.2,1.0,1,0.5,5,106,6619
dsa0.6,0.2,1.0,1,0.5,5,107,6619
dsa0.6,0.2,1.0,1,0.5,5,108,6619
dsa0.6,0.2,1.0,1,0.5,5,109,6619
dsa0.6,0.2,1.0,1,0.5,5,110,6619
dsa0.6,0.2,1.0,1,0.5,5,111,6619
dsa0.6,0.2,1.0,1,0.5,5,112,6619
dsa0.6,0.2,1.0,1,0.5,5,113,6619
dsa0.6,0.2,1.0,1,0.5,5,114,6619
dsa0.6,0.2,1.0,1,0.5,5,115,6619
dsa0.6,0.2,1.0,1,0.5,5,116,6619
dsa0.6,0.2,1.0,1,0.5,5,117,6619
dsa0.6,0.2,1.0,1,0.5,5,118,6619
dsa0.6,0.2,1.0,1,0.5,5,119,6619
dsa0.6,0.2,1.0,1,0.5,5,120,6619
dsa0.6,0.2,1.0,1,0.5,5,121,6619
dsa0.6,0.2,1.0,1,0.5,5,122,6619
dsa0.6,0.2,1.0,1,0.5,5,123,6619
dsa0.6,0.2,1.0,1,0.5,5,124,6619
dsa0.6,0.2,1.0,1,0.5,5,125,6619
dsa0.6,0.2,1.0,1,0.5,5,126,6619
dsa0.6,0.2,1.0,1,0.5,5,127,6619
dsa0.6,0.2,1.0,1,0.5,5,128,6619
dsa0.6,0.2,1.0,1,0.5,5,129,6619
dsa0.6,0.2,1.0,1,0.5,5,130,6619
